Cost_scaling_factor global,Update_frequency_global,Publish_frequency_gloabl,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0,0.01,0.2,0.1,0.2,0,84,84,0,10,10,0,0,0,1.14850241609014E-07,5.74251208045069E-08,3.55989550369987E-08,0.563860406364291,0.2,26.04,0,390.77,40.81,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.55,0.01,0.2,0.1,0.2,0,164,167,0,4,4,0,0,0,7.10558580168338E-05,3.55279290084169E-05,2.16626982051186E-05,0.16755656325796,0.6,10.36,0,75.72,92.31,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,1.11,0.01,0.2,0.1,0.2,0,81,164,80,4,4,0,80,80,4.93331287145167E-05,2.46665643572583E-05,1.98333197827023E-05,0.172714964110207,0.8,12.57,0,81.46,90.99,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,2.22,0.01,0.2,0.1,0.2,0,80,84,0,2,2,0,0,0,8.14784514736662E-05,4.07392257368331E-05,2.54236595787198E-05,0.172858662082193,0.8,12.45,0,59.06,92.98,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,3.88,0.01,0.2,0.1,0.2,0,0,5,0,0,0,0,0,0,5.92853537581575E-05,2.96426768790788E-05,1.91624851815259E-05,0.172843986528967,1,14.42,0,44.93,91.99,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,100,0.01,0.2,0.1,0.2,0,161,164,0,4,4,0,0,0,6.47832668744839E-05,3.2391633437242E-05,2.18453149072075E-05,0.174348037067412,0.6,10.12,0,71.35,93.64,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.1,0.01,0.2,0.1,0.2,0,240,242,0,6,6,0,0,0,6.06149648656539E-05,3.03074824328269E-05,2.10745527258824E-05,0.174767181084157,0.6,9.47,0,160.15,77.86,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.05,0.01,0.2,0.1,0.2,0,238,239,0,8,8,0,0,0,3.80623464347803E-05,1.90311732173901E-05,1.35475655108792E-05,0.17096637722612,0.4,6.86,0,177.22,78.69,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.8,0.01,0.2,0.1,0.2,0,5,10,0,0,0,0,0,0,6.91258598655008E-05,3.45629299327504E-05,2.0871756131758E-05,0.174127718641379,1,14.42,0,47.97,91.51,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.02,0.01,0.2,0.1,0.2,0,160,241,80,8,8,0,80,80,4.74612282924947E-06,2.37306141462473E-06,1.69046994715604E-06,0.180179527466454,1,10.17,0,163.62,82.98,0
