Cost_scaling_factor global,Update_frequency_global,Publish_frequency_gloabl,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.01,0.2,0.1,0.2,0,3,8,0,0,0,0,0,0,5.41074188023065E-05,2.70537094011532E-05,1.7756701294951E-05,0.168913145539051,1,14.47,0,52.38,91.34,1
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.05,0.2,0.1,0.2,0,318,319,0,8,8,0,0,0,5.76876811733004E-05,2.88438405866502E-05,2.29999809715773E-05,0.181564591509193,0.2,5.01,0,106.69,93.64,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.1,0.2,0.1,0.2,0,237,238,0,8,8,0,0,0,2.48970548311121E-05,1.24485274155561E-05,9.94860710190261E-06,0.169659462023062,0.4,6.74,0,141.98,87.32,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.5,0.2,0.1,0.2,0,164,167,0,4,4,0,0,0,4.76152536347745E-05,2.38076268173872E-05,1.48642896950684E-05,0.175766282430054,0.8,11.63,0,144.25,78.86,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.075,0.2,0.1,0.2,0,2,84,79,4,4,0,79,79,8.64247982711691E-05,4.32123991355846E-05,2.78912981682585E-05,0.150665406917201,0.8,14.52,0,107.78,87.5,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.15,0.2,0.1,0.2,0,160,321,160,8,8,0,160,160,1.48403673360442E-05,7.42018366802209E-06,6.09763624878511E-06,0.183440129297989,0.6,9.74,0,158.95,83.51,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.85,0.2,0.1,0.2,0,160,244,82,6,6,0,82,82,1.63785658335856E-05,8.18928291679279E-06,6.2964431942095E-06,0.179455998375503,0.8,11.68,0,177.75,75.87,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.5,0.185,0.2,0.1,0.2,0,316,395,79,10,10,0,79,79,8.59457094560465E-06,4.29728547280233E-06,3.46027434783786E-06,0.155996678301791,0.2,4.19,0,162.03,84.68,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.05,0.055,0.2,0.1,0.2,0,165,165,0,11,11,0,0,0,1.44636285367351E-05,7.23181426836757E-06,5.46484997243919E-06,2.82333009492648,0,6.48,0,265.97,91.25,0
10,4,3,0.5,0.01,1,10,1,4,3,1,0.5,0.01,0.6,0.05,0.125,0.2,0.1,0.2,0,89,89,0,11,12,0,0,0,1.49458613118986E-05,7.47293065594932E-06,5.41785609119498E-06,3.70912559341322,0,13.2,0,110.88,88.32,0
