Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
29.0,10.0,8.0,3.37,0.0,11.0,0.7,19.0,18.0,1.0,2.9,43.69,29.77,0.29,0.05,0.18,0.08,-0.23,10.0,979.0,310.0,4.0,0.0,0.0,310.0,310.0,4.318969073744887e-05,2.1594845368724435e-05,1.301402830214574e-05,1.2772716645222335,0.6,15.21,178.1,77.75,0.0
18.0,15.0,11.0,0.92,0.0,20.0,0.45,6.0,3.0,1.0,3.6,24.15,14.59,0.28,0.08,0.09,0.14,-0.19,0.0,735.0,22.0,1.0,0.0,0.0,22.0,22.0,5.210723449139437e-05,2.6053617245697184e-05,1.6477039249197515e-05,1.262723895447626,1.0,15.28,163.12,76.37,1.0
27.0,4.0,14.0,0.91,1.0,18.0,0.23,14.0,7.0,0.0,4.18,17.89,25.98,0.11,0.03,0.16,0.1,-0.07,772.0,795.0,0.0,10.0,0.0,0.0,0.0,0.0,9.375349498998189e-05,4.6876747494990936e-05,3.59151736996163e-05,1.8785955193718007,0.0,0.97,95.86,95.5,0.0
30.0,6.0,10.0,1.24,1.0,30.0,0.76,12.0,7.0,1.0,1.14,19.23,19.5,0.12,0.08,0.28,0.05,-0.06,782.0,807.0,0.0,10.0,0.0,0.0,0.0,0.0,3.5529336541812896e-05,1.7764668270906448e-05,1.2757675157921808e-05,1.7758789589893444,0.0,1.02,97.2,95.5,0.0
8.0,14.0,13.0,4.63,0.0,12.0,0.5,7.0,3.0,0.0,1.9,37.14,39.48,0.23,0.08,0.3,0.06,-0.26,0.0,1052.0,154.0,5.0,0.0,0.0,154.0,154.0,5.216873498412032e-05,2.608436749206016e-05,1.7056643956111427e-05,1.3080933735246891,0.6,18.58,228.17,68.0,0.0
27.0,4.0,20.0,2.26,0.0,28.0,0.94,10.0,5.0,0.0,1.98,25.08,34.78,0.11,0.04,0.13,0.04,-0.19,23.0,808.0,155.0,2.0,0.0,0.0,155.0,155.0,5.4335849947045024e-05,2.7167924973522512e-05,1.7885958362462664e-05,1.2723200867183009,0.8,14.57,156.96,79.33,0.0
5.0,19.0,3.0,1.01,1.0,27.0,0.91,9.0,10.0,1.0,0.89,25.54,34.43,0.06,0.01,0.19,0.17,-0.1,925.0,969.0,0.0,11.0,0.0,0.0,0.0,0.0,7.437056461036149e-06,3.7185282305180743e-06,2.733594977486441e-06,1.4202368411784243,0.0,1.51,116.44,94.32,0.0
24.0,16.0,2.0,1.15,0.0,21.0,0.55,10.0,2.0,0.0,4.45,32.99,27.41,0.11,0.04,0.24,0.09,-0.24,3.0,618.0,155.0,2.0,0.0,0.0,155.0,155.0,7.747993081104508e-05,3.873996540552254e-05,2.285751283298975e-05,1.3113009396774706,0.8,12.11,120.02,84.65,0.0
10.0,15.0,19.0,2.29,1.0,25.0,0.99,12.0,17.0,0.0,4.13,27.14,14.89,0.19,0.02,0.11,0.17,-0.21,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,3.024462061300125e-05,1.5122310306500624e-05,1.0450385774964724e-05,1.3809136863332654,1.0,10.05,81.55,88.8,1.0
4.0,5.0,12.0,4.64,1.0,5.0,0.79,16.0,12.0,0.0,3.08,9.98,13.79,0.16,0.06,0.21,0.05,-0.13,3.0,721.0,154.0,2.0,0.0,0.0,154.0,154.0,0.0001529771308202,7.648856541013465e-05,4.5480352613812496e-05,1.2820803718713212,0.8,12.75,140.41,81.3,0.0
26.0,8.0,14.0,3.66,1.0,30.0,0.63,4.0,2.0,0.0,3.17,40.55,24.28,0.38,0.07,0.11,0.17,-0.28,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88325200070062e-05,3.94162600035031e-05,2.6666699582242337e-05,1.377917148786354,1.0,11.56,106.3,84.95,1.0
13.0,18.0,5.0,1.49,1.0,2.0,0.88,5.0,19.0,0.0,1.05,7.35,31.67,0.33,0.04,0.21,0.14,-0.2,1.0,706.0,309.0,4.0,0.0,0.0,309.0,309.0,0.0001022453012557,5.112265062785992e-05,3.100936431002845e-05,1.250459572178075,0.6,11.41,123.31,85.94,0.0
23.0,6.0,9.0,1.08,1.0,21.0,0.18,3.0,10.0,0.0,3.64,29.77,11.19,0.14,0.03,0.29,0.09,-0.22,0.0,520.0,157.0,2.0,0.0,0.0,157.0,157.0,6.145268838868681e-05,3.072634419434341e-05,1.99096280793896e-05,1.3249586985190345,0.8,10.46,100.23,87.61,0.0
20.0,1.0,19.0,4.05,1.0,4.0,0.52,8.0,10.0,1.0,3.38,23.76,10.12,0.1,0.07,0.2,0.04,-0.02,629.0,870.0,0.0,8.0,0.0,0.0,0.0,0.0,2.181158719140976e-05,1.090579359570488e-05,6.834615967794216e-06,1.2727928668278217,0.2,6.56,125.06,89.98,0.0
26.0,5.0,4.0,0.28,0.0,7.0,0.22,13.0,7.0,1.0,2.24,46.19,21.85,0.1,0.06,0.19,0.19,-0.15,252.0,806.0,9.0,2.0,0.0,0.0,9.0,9.0,0.0001570930143123,7.854650715616253e-05,4.993507031661955e-05,1.4223647551139016,0.8,11.83,148.43,81.88,0.0
7.0,15.0,5.0,1.77,0.0,15.0,0.45,12.0,14.0,1.0,1.49,36.73,5.61,0.1,0.06,0.11,0.18,-0.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,4.487861097605999e-05,2.2439305488029997e-05,1.4379389585975378e-05,1.3401511521669491,1.0,11.77,97.52,86.75,1.0
12.0,1.0,8.0,4.49,1.0,20.0,0.29,8.0,5.0,0.0,2.6,34.34,18.2,0.41,0.09,0.29,0.14,-0.15,0.0,565.0,0.0,1.0,0.0,0.0,0.0,0.0,5.03399916937116e-06,2.51699958468558e-06,1.495380503472325e-06,1.3244197676251828,1.0,12.78,130.76,80.95,1.0
10.0,19.0,6.0,0.23,0.0,22.0,0.42,2.0,15.0,1.0,4.07,39.83,35.22,0.1,0.09,0.25,0.12,-0.11,3.0,791.0,316.0,4.0,0.0,0.0,316.0,316.0,4.566320999057103e-05,2.2831604995285517e-05,1.5474144506701813e-05,1.284368658214293,0.6,12.41,140.2,83.67,0.0
22.0,8.0,17.0,3.09,0.0,2.0,0.65,3.0,13.0,1.0,0.13,23.37,30.09,0.43,0.04,0.27,0.1,-0.23,5.0,666.0,155.0,2.0,0.0,0.0,155.0,155.0,9.2487934811467e-05,4.624396740573349e-05,2.906233998035445e-05,1.297435103829642,0.8,12.81,129.44,83.67,0.0
5.0,10.0,9.0,3.52,0.0,26.0,0.1,12.0,19.0,0.0,4.97,9.56,22.68,0.25,0.1,0.09,0.19,-0.06,824.0,845.0,0.0,10.0,0.0,0.0,0.0,0.0,3.81018845788953e-05,1.905094228944765e-05,1.5643121223664908e-05,2.051477822806928,0.0,0.81,100.51,95.5,0.0
24.0,4.0,5.0,3.84,0.0,14.0,0.22,17.0,12.0,1.0,3.9,41.59,10.48,0.32,0.08,0.11,0.09,-0.07,979.0,1026.0,0.0,10.0,0.0,0.0,0.0,0.0,0.000106708190857,5.335409542853965e-05,3.811549653904959e-05,1.7957344037186358,0.0,1.4,121.82,93.92,0.0
13.0,7.0,7.0,3.67,1.0,15.0,0.27,2.0,16.0,1.0,3.59,14.35,19.58,0.12,0.01,0.06,0.18,-0.08,0.0,642.0,229.0,3.0,0.0,0.0,229.0,229.0,8.821652142492135e-06,4.410826071246068e-06,2.661760328779324e-06,1.3914891446464723,0.8,9.84,122.17,85.94,0.0
15.0,6.0,8.0,0.21,0.0,14.0,0.24,15.0,10.0,0.0,1.41,20.05,38.77,0.22,0.02,0.19,0.16,-0.14,1.0,665.0,155.0,3.0,0.0,0.0,155.0,155.0,8.80071589856715e-05,4.400357949283575e-05,2.6514078614980384e-05,1.320569190188278,0.8,11.96,136.28,82.48,0.0
18.0,19.0,15.0,2.59,0.0,8.0,0.26,13.0,8.0,1.0,3.07,41.22,29.58,0.2,0.04,0.11,0.1,-0.08,617.0,898.0,154.0,10.0,0.0,0.0,154.0,154.0,8.539283057938382e-05,4.269641528969191e-05,3.550084810633652e-05,2.090761127754503,0.0,4.67,117.02,92.35,0.0
28.0,19.0,6.0,2.13,0.0,19.0,0.12,13.0,6.0,1.0,0.86,30.63,24.94,0.5,0.04,0.24,0.18,-0.17,0.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8349366243927323e-05,9.17468312196366e-06,5.820629806429283e-06,1.3594485447161857,1.0,13.69,131.28,80.91,1.0
27.0,5.0,6.0,2.33,1.0,6.0,0.78,11.0,12.0,0.0,0.23,25.93,21.73,0.24,0.04,0.29,0.16,-0.13,0.0,382.0,3.0,0.0,0.0,0.0,3.0,3.0,5.539172550575072e-05,2.769586275287536e-05,1.8916483717095455e-05,1.3524378084407584,1.0,10.05,86.44,87.91,1.0
11.0,7.0,13.0,2.4,0.0,15.0,0.61,17.0,3.0,1.0,2.9,17.94,25.28,0.35,0.02,0.27,0.16,-0.18,0.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57579752416164e-05,2.78789876208082e-05,1.695707394523918e-05,1.2746732944094503,1.0,18.32,188.48,72.62,1.0
23.0,13.0,20.0,1.86,1.0,22.0,0.85,13.0,14.0,0.0,3.79,39.4,27.68,0.28,0.02,0.22,0.13,-0.01,331.0,555.0,2.0,4.0,0.0,0.0,2.0,2.0,5.361514943361924e-05,2.680757471680962e-05,1.6815159644222962e-05,1.3632513611579211,0.6,6.64,89.04,91.56,0.0
8.0,3.0,13.0,0.12,1.0,19.0,0.93,18.0,14.0,0.0,4.16,40.7,25.92,0.34,0.03,0.11,0.18,-0.09,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901329695496952e-05,4.950664847748476e-05,2.948095864650173e-05,1.3588854723906267,1.0,9.75,70.66,90.51,1.0
11.0,5.0,5.0,0.27,1.0,25.0,0.9,10.0,17.0,0.0,3.25,31.23,22.36,0.06,0.08,0.14,0.06,-0.16,0.0,485.0,154.0,2.0,0.0,0.0,154.0,154.0,7.041232597460699e-06,3.5206162987303493e-06,2.236745789143796e-06,1.3313912125294274,0.8,10.75,92.75,88.8,0.0
13.0,11.0,1.0,2.23,1.0,29.0,0.46,14.0,15.0,1.0,3.41,32.77,17.47,0.25,0.01,0.24,0.05,-0.01,154.0,425.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0001338609697618,6.693048488090918e-05,4.0434813377495984e-05,1.305101833784344,0.8,8.27,80.7,90.77,0.0
23.0,2.0,13.0,4.8,1.0,12.0,0.26,6.0,9.0,1.0,3.93,14.16,15.07,0.35,0.09,0.25,0.05,-0.05,928.0,969.0,0.0,11.0,0.0,0.0,0.0,0.0,0.000111178706666,5.5589353333030944e-05,4.216377388929985e-05,1.9242523335944917,0.0,1.25,116.11,94.72,0.0
19.0,1.0,18.0,2.59,1.0,7.0,0.93,1.0,11.0,0.0,4.91,38.66,17.5,0.25,0.02,0.23,0.04,-0.26,0.0,777.0,156.0,4.0,0.0,0.0,156.0,156.0,8.281584429691927e-06,4.140792214845963e-06,2.4757521435509905e-06,1.2989189234892498,0.8,13.04,165.21,inf,0.0
15.0,8.0,18.0,0.93,1.0,12.0,0.84,16.0,10.0,1.0,2.61,6.1,14.99,0.25,0.05,0.11,0.19,-0.14,0.0,690.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2591064595242865e-05,1.6295532297621432e-05,1.022958921595181e-05,1.2909782541426778,1.0,14.66,155.76,77.36,1.0
13.0,14.0,4.0,3.81,0.0,14.0,0.3,9.0,15.0,0.0,4.45,44.01,17.93,0.47,0.03,0.29,0.03,-0.07,312.0,1026.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0001132696995151,5.663484975758602e-05,3.466239854827475e-05,1.3049575644640994,0.6,19.18,187.56,75.97,0.0
15.0,8.0,11.0,2.86,0.0,13.0,0.49,18.0,20.0,0.0,0.16,39.3,21.8,0.31,0.07,0.29,0.16,-0.18,1.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1039256128283848e-06,5.519628064141924e-07,3.735336603561797e-07,1.3685964617292838,1.0,11.2,95.85,86.43,1.0
2.0,13.0,17.0,4.01,0.0,30.0,0.95,7.0,12.0,0.0,1.37,27.95,33.19,0.21,0.02,0.15,0.1,-0.12,0.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,6.222084087093335e-05,3.111042043546667e-05,1.987311983663405e-05,1.3034788069288772,1.0,15.83,152.26,77.75,1.0
22.0,10.0,1.0,4.05,1.0,20.0,0.62,1.0,20.0,1.0,3.87,30.55,39.55,0.18,0.07,0.3,0.14,-0.08,618.0,660.0,0.0,8.0,0.0,0.0,0.0,0.0,8.266134995241964e-05,4.133067497620982e-05,2.600106691613489e-05,1.4176080555387116,0.2,1.55,82.84,95.7,0.0
12.0,13.0,15.0,1.37,0.0,12.0,0.67,4.0,10.0,0.0,2.4,46.95,39.16,0.23,0.04,0.25,0.03,-0.24,0.0,950.0,0.0,4.0,0.0,0.0,0.0,0.0,9.535936875671708e-05,4.767968437835855e-05,2.871205082159141e-05,1.270464733309063,0.6,17.95,228.06,66.55,0.0
20.0,10.0,15.0,0.65,1.0,24.0,0.18,9.0,5.0,0.0,1.34,32.2,6.21,0.37,0.02,0.16,0.18,-0.28,0.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,9.197062223656032e-05,4.598531111828017e-05,2.8766801866334683e-05,1.255531022548568,1.0,11.77,109.59,84.46,1.0
